"Scenario","Sugar_MLR_2021_2040","Sugar_MLR_2081_2100","Sugar_ML_2021_2040","Sugar_ML_2081_2100","MLR_Change","ML_Change"
"SSP1-26",14.081274051956,13.5229719710416,13.7995406458333,13.7648492291667,-0.558302080914336,-0.0346914166666625
"SSP2-45",13.9665710702776,12.8693949032889,13.8014556458333,13.7560406666667,-1.09717616698867,-0.0454149791666598
"SSP3-70",14.0583342796801,11.7464548677306,13.8034566041666,13.7540666666667,-2.31187941194945,-0.0493899374999902
"SSP5-85",13.9338212944702,11.0476314080836,13.8025065625,13.8466965833333,-2.88618988638659,0.0441900208333443
