"Scenario","CIRG_MLR_2021_2040","CIRG_MLR_2081_2100","CIRG_ML_2021_2040","CIRG_ML_2081_2100","MLR_Change","ML_Change"
"SSP1-26",2.59891949048923,2.35076537899464,2.04538124120606,2.0093487022954,-0.248154111494587,-0.0360325389106673
"SSP2-45",2.55516729129551,2.05396278577274,2.03884130299981,1.93319596736314,-0.501204505522768,-0.105645335636676
"SSP3-70",2.59096202320394,1.59621443528065,2.04203837750622,1.81053123712798,-0.994747587923286,-0.231507140378246
"SSP5-85",2.55042227462956,1.30023531864357,2.03768176744717,1.73943994952596,-1.25018695598598,-0.298241817921216
